TF	CAI_R_value	Nc_R_value
ERF012	0.17593591548646179	-0.16008055252981934
HHO5	0.16732118764190454	-0.17257939569726238
ARF36	-0.15462037764165265	0.19409678121576165
DOF1.7	-0.15963847941731846	0.16734647486873097
IDD4	0.19660274003363193	-0.1567618356591087
estExt_gwp_gw1.C_550163	0.1528603105549975	-0.15420235072910665
DOF3.2	-0.17825779840418232	0.15254766590919908
MYB3	0.15065931595316753	-0.15374612484163477
NAC038	0.18006155846670696	-0.1717063040789527
PHYPADRAFT_182268	0.1528603105549975	-0.15420235072910665
ERF15	0.2470256773792769	-0.15277265099162265
ERF011	0.1903276786221419	-0.18271449262531192
PK06182.1	0.15424840421917563	-0.1958757856241679
