"TFBS","Correlation","P_value","Adjusted_P_value","Null_Hypothesis"
"ABF1",0.094300414971969,0.209255708185903,0.695297379972407,"Accept"
"ABF2",-0.0406058252104289,0.589413903081947,0.864354697080906,"Accept"
"ABF3",0.0885068680091492,0.238733231309666,0.711051738894911,"Accept"
"ABF4",-0.063403844272121,0.399121343484267,0.811000235017643,"Accept"
"ABI5",0.0149972806691186,0.842062936711226,0.964860508001988,"Accept"
"ABR1",-0.0106512355291891,0.887467470597133,0.982503357212259,"Accept"
"AG",-0.00281749412751152,0.970140965351355,0.991130789780398,"Accept"
"AGL1",0.0597107589278001,0.427202690203222,0.834231920035737,"Accept"
"AGL13",-0.095278135346471,0.204550819155714,0.695297379972407,"Accept"
"AGL15",-0.0734650822443549,0.32840519367958,0.768074367517286,"Accept"
"AGL16",-0.053210874074714,0.479301252489706,0.851353249598314,"Accept"
"AGL27",0.0721962918604828,0.336850170692387,0.768074367517286,"Accept"
"AGL3",-0.0224631369442792,0.765345640269316,0.951122862432055,"Accept"
"AGL6",-0.126785870812141,0.0907933828565259,0.570330707764966,"Accept"
"AGL63",-0.0138814017964066,0.853677496691148,0.967013842105204,"Accept"
"AHL12",0.0585893580940456,0.435950212569138,0.834836970886638,"Accept"
"AHL13",-0.0126171881346659,0.866873957529104,0.973502223870543,"Accept"
"AHL20",0.081088481598703,0.280557646367726,0.74151272370609,"Accept"
"AHL25",-0.0465470959709949,0.536094049766018,0.864354697080906,"Accept"
"AIB",0.116672028294542,0.119863640305767,0.628555023364631,"Accept"
"AIL6",0.0566954073037098,0.450954103318539,0.834836970886638,"Accept"
"AIL7",0.0146660330622797,0.845507272216957,0.964860508001988,"Accept"
"ANL2",0.00369617886583382,0.960835440897074,0.987238636712547,"Accept"
"ANT",0.141912485197692,0.0580977118547284,0.530136267963109,"Accept"
"AP1",-0.106686937072769,0.155190573068655,0.667101429591958,"Accept"
"AP3",0.0759101997062045,0.312518209171229,0.768074367517286,"Accept"
"ARALYDRAFT_484486",-0.190501931557116,0.0106394783438832,0.437502034243099,"Accept"
"ARALYDRAFT_493022",-0.0541675488730432,0.471423912603887,0.847344275717027,"Accept"
"ARALYDRAFT_495258",-0.190501931557116,0.0106394783438832,0.437502034243099,"Accept"
"ARALYDRAFT_496250",0.0507267452330541,0.500084207864008,0.854117554338848,"Accept"
"ARALYDRAFT_897773",-0.0399076832299581,0.595835184333402,0.86708208344559,"Accept"
"ARF1",0.0662444793986656,0.378290848093142,0.796674654628754,"Accept"
"ARF10",-0.0960789915637332,0.200754233110474,0.691814832728741,"Accept"
"ARF13",-0.123188577767771,0.100410289505214,0.581395259839938,"Accept"
"ARF14",-0.0506430252621857,0.500792796814005,0.854117554338848,"Accept"
"ARF16",0.0263007711634624,0.726732279543973,0.932341972517223,"Accept"
"ARF18",0.103977171977472,0.166012341866134,0.667101429591958,"Accept"
"ARF25",-0.0204802429661927,0.785532913138171,0.953926697714841,"Accept"
"ARF27",0.073300256992445,0.329494498227267,0.768074367517286,"Accept"
"ARF29",0.00702100280042272,0.925682965019238,0.987238636712547,"Accept"
"ARF3",-0.00643285228962271,0.93189281411469,0.987238636712547,"Accept"
"ARF34",0.159839205440424,0.0325750910868849,0.518997711367473,"Accept"
"ARF35",-0.0312924641636887,0.677531894618066,0.925063114413799,"Accept"
"ARF36",-0.154620377641653,0.0387688429627114,0.518997711367473,"Accept"
"ARF39",-0.043088140260459,0.566842818072007,0.864354697080906,"Accept"
"ARF4",0.0927982589855023,0.216634843468489,0.695297379972407,"Accept"
"ARF5",0.0662444793986656,0.378290848093142,0.796674654628754,"Accept"
"ARF7",0.027000261685758,0.719764504403704,0.932341972517223,"Accept"
"ARR10",0.0501126643854471,0.505293895084031,0.854117554338848,"Accept"
"ARR11",0.104456866402385,0.164056708540619,0.667101429591958,"Accept"
"ARR14",0.092888350564106,0.216187114148809,0.695297379972407,"Accept"
"ARR18",0.0289577641625908,0.700389335219491,0.9309599530122,"Accept"
"ARR2",-0.0601316393762834,0.423945953664514,0.834231920035737,"Accept"
"AS2",-0.00912033614019036,0.903556827704859,0.986336102292726,"Accept"
"ASIL2",0.148582923367155,0.0471434182505234,0.530136267963109,"Accept"
"ASR1",-0.0488524610790557,0.516073208809853,0.855659117437091,"Accept"
"ASR3",0.0490983907422244,0.513960370551228,0.855659117437091,"Accept"
"AT1G14600",0.130021105238615,0.0827853724552136,0.570330707764966,"Accept"
"AT1G19000",-0.0820621098874057,0.274803450926557,0.73670948943333,"Accept"
"AT1G19040",0.0996587800407174,0.184406393180518,0.674236858844949,"Accept"
"AT1G72740",-0.0716753259671672,0.340357423430012,0.768074367517286,"Accept"
"AT1G74840",-0.0305483976982999,0.684785846437759,0.927561560781781,"Accept"
"AT1G76870",-0.032502078837484,0.665802557050279,0.919566203548814,"Accept"
"AT2G38090",0.0741002889758089,0.324228896726268,0.768074367517286,"Accept"
"AT2G38300",0.063432424072479,0.398908416571417,0.811000235017643,"Accept"
"AT2G40260",0.040704964042971,0.588504628376049,0.864354697080906,"Accept"
"AT3G10030",-0.0260015918136341,0.729719364904006,0.932341972517223,"Accept"
"AT3G10580",-0.0729916498772557,0.331540267655026,0.768074367517286,"Accept"
"AT3G46070",-0.0939322467580766,0.211047360623402,0.695297379972407,"Accept"
"AT4G12670",-0.0431514612107744,0.566272470685912,0.864354697080906,"Accept"
"AT5G04760",-0.14167456078526,0.0585242393367916,0.530136267963109,"Accept"
"AT5G05090",0.0425818885942073,0.571412541160877,0.864354697080906,"Accept"
"AT5G05790",-0.15533020904981,0.0378721212873679,0.518997711367473,"Accept"
"AT5G47660",-0.0439450720060763,0.5591474770911,0.864354697080906,"Accept"
"AT5G56840",-0.0160377858785513,0.831263457626459,0.964860508001988,"Accept"
"AT5G61620",-0.0594440400287058,0.429273997768161,0.834836970886638,"Accept"
"ATHB.12",-0.0633993054053108,0.399155165456763,0.811000235017643,"Accept"
"ATHB.13",0.0461736111157871,0.539373671304074,0.864354697080906,"Accept"
"ATHB.15",0.0575061251791817,0.444496396958106,0.834836970886638,"Accept"
"ATHB.16",0.0522827895890301,0.487010734962223,0.851663051438912,"Accept"
"ATHB.20",0.0223937176406031,0.766049802984802,0.951122862432055,"Accept"
"ATHB.4",-0.0184581619827424,0.806267377174,0.959062548482778,"Accept"
"ATHB.40",0.0999944282462287,0.182925214743554,0.674236858844949,"Accept"
"ATHB.5",-0.0222081464173499,0.767933105715976,0.951122862432055,"Accept"
"ATHB.51",0.0264206409418167,0.725536619989672,0.932341972517223,"Accept"
"ATHB.53",-0.00357995488071588,0.962066010105512,0.987238636712547,"Accept"
"ATHB.6",-0.0331297383806632,0.65974786659079,0.916606225718035,"Accept"
"ATHB.7",-0.0235879378761576,0.753963264974903,0.951122862432055,"Accept"
